t,mean,max
16050,0.59645,1
16100,0.605872,1
16150,0.612487,1
16200,0.609598,1
16250,0.601618,1
16300,0.601432,1
16350,0.603622,1
16400,0.59816,1
16450,0.594323,1
16500,0.600192,1
16550,0.594784,1
16600,0.593795,1
16650,0.596524,1
16700,0.596097,1
16750,0.592638,1
16800,0.59496,1
16850,0.596845,1
16900,0.591417,1
16950,0.589603,1
17000,0.590522,1
17050,0.589444,1
17100,0.590917,1
17150,0.593525,1
17200,0.591838,1
17250,0.594855,1
17300,0.595833,1
17350,0.602002,1
17400,0.596156,1
17450,0.587432,1
17500,0.593502,1
17550,0.59474,1
17600,0.592038,1
17650,0.589768,1
17700,0.587883,1
17750,0.588292,1
17800,0.586007,1
17850,0.592601,1
17900,0.593369,1
17950,0.582285,1
18000,0.576637,1
18050,0.578734,1
18100,0.585976,1
18150,0.587232,1
18200,0.586086,1
18250,0.590677,1
18300,0.587578,1
18350,0.576542,1
18400,0.571243,1
18450,0.571646,1
18500,0.570401,1
18550,0.565602,1
18600,0.56753,1
18650,0.569651,1
18700,0.571146,1
18750,0.56009,1
18800,0.552575,1
18850,0.555314,1
18900,0.558372,1
18950,0.550878,1
19000,0.545988,1
19050,0.546538,1
19100,0.546498,1
19150,0.538013,1
19200,0.532208,1
19250,0.53186,1
19300,0.529957,1
19350,0.521347,1
19400,0.516197,1
19450,0.517274,1
19500,0.519503,1
19550,0.512769,1
19600,0.514399,1
19650,0.516122,1
19700,0.52603,1
19750,0.521111,1
19800,0.511649,1
19850,0.513829,1
19900,0.516029,1
19950,0.512767,1
20000,0.503524,1
20050,0.502467,1
20100,0.502312,1
20150,0.4992,1
20200,0.493177,1
20250,0.497472,1
20300,0.504397,1
20350,0.501777,1
20400,0.497803,1
20450,0.498871,1
20500,0.500802,1
20550,0.500385,1
20600,0.499171,1
20650,0.499833,1
20700,0.498306,1
20750,0.49735,1
20800,0.486665,1
20850,0.479611,1
20900,0.478857,1
20950,0.478933,1
21000,0.475848,1
21050,0.470922,1
21100,0.475186,1
21150,0.477374,1
21200,0.471788,1
21250,0.46255,1
21300,0.462814,1
21350,0.46759,1
21400,0.471428,1
21450,0.462244,1
21500,0.46189,1
21550,0.464271,1
21600,0.46482,1
21650,0.452981,1
21700,0.453611,1
21750,0.463911,1
21800,0.472567,1
21850,0.465884,1
21900,0.464164,1
21950,0.46918,1
22000,0.47818,1
22050,0.467698,1
22100,0.467432,1
22150,0.481502,1
22200,0.485625,1
22250,0.482824,1
22300,0.481192,1
22350,0.487956,1
22400,0.490378,1
22450,0.491259,1
22500,0.487168,1
22550,0.483343,1
22600,0.493711,1
22650,0.505802,1
22700,0.515301,1
22750,0.524838,1
22800,0.529475,1
22850,0.526423,1
22900,0.526243,1
22950,0.524864,1
23000,0.524374,1
23050,0.525955,1
23100,0.526694,1
23150,0.520572,1
23200,0.519557,1
23250,0.527867,1
23300,0.522281,1
23350,0.519747,1
23400,0.528649,1
23450,0.533968,1
23500,0.539229,1
23550,0.543238,1
23600,0.5439,1
23650,0.542196,1
23700,0.540632,1
23750,0.538862,1
23800,0.532608,1
23850,0.536671,1
23900,0.540844,1
23950,0.533701,1
24000,0.529058,1
24050,0.528499,1
24100,0.524056,1
24150,0.521803,1
24200,0.528425,1
24250,0.524048,1
24300,0.520797,1
24350,0.520992,1
24400,0.523166,1
24450,0.518004,1
24500,0.51294,1
24550,0.517544,1
24600,0.512266,1
24650,0.506655,1
24700,0.512121,1
24750,0.516526,1
24800,0.511047,1
24850,0.511148,1
24900,0.519686,1
24950,0.520891,1
25000,0.523787,1
25050,0.534038,1
25100,0.540786,1
25150,0.534455,1
25200,0.527775,1
25250,0.528192,1
25300,0.520884,1
25350,0.514,1
25400,0.51632,1
25450,0.520589,1
25500,0.517045,1
25550,0.509629,1
25600,0.514163,1
25650,0.516455,1
25700,0.516698,1
25750,0.511117,1
25800,0.512001,1
25850,0.516499,1
25900,0.510654,1
25950,0.508201,1
26000,0.511903,1
26050,0.513068,1
26100,0.504587,1
26150,0.499522,1
26200,0.500798,1
26250,0.505274,1
26300,0.504073,1
26350,0.499634,1
26400,0.504045,1
26450,0.50686,1
26500,0.502125,1
26550,0.499594,1
26600,0.500572,1
26650,0.501393,1
26700,0.494554,1
26750,0.488865,1
26800,0.491764,1
26850,0.496922,1
26900,0.50688,1
26950,0.517076,1
27000,0.52696,1
27050,0.528708,1
27100,0.520532,1
27150,0.512451,1
27200,0.514947,1
27250,0.515473,1
27300,0.516353,1
27350,0.511168,1
27400,0.517954,1
27450,0.528241,1
27500,0.522254,1
27550,0.515933,1
27600,0.522572,1
27650,0.532315,1
27700,0.535753,1
27750,0.533531,1
